vOTU,AI05,AI15,AI20,AI28,AI40,AII05,AII15,AII20,AII28,AII40,AIII05,AIII15,AIII20,AIII28,AIII40
NODE_907_length_10021_cov_4_62061,0,0,16.97655335,8.822777184,12.08575143,0,0,15.01503139,15.10741993,13.40241638,0,0,16.62648599,13.14570088,11.39149016
NODE_1237_length_7904_cov_18_0469,0,0,48.22941299,10.33329157,16.05138862,0,0,13.59714707,13.5910618,20.43262446,0,0,11.95488484,7.687544372,14.18480576
NODE_1109_length_8538_cov_8_68443,0,0,21.32695142,0,0,0,53.73925478,17.34181592,0,0,0,33.90529631,21.33487141,0,0
NODE_963_length_9530_cov_7_19884,0,0,24.65225568,0,0,0,99.4828491,28.53946645,0,0,0,74.83428866,40.20519732,0,0
NODE_5562_length_2525_cov_14_5769,0,0,33.17803579,0,0,0,0,17.705376,0,0,0,0,25.93290404,0,0
NODE_2026_length_5352_cov_3_761,0,0,13.65124909,0,0,0,0,0,0,0,0,0,0,0,0
NODE_1160_length_8247_cov_5_30945,0,0,19.20175696,0,0,0,0,6.435013454,0,0,0,0,7.982184647,0,0
NODE_2059_length_5290_cov_3_11767,0,0,11.52605463,4.806182123,5.438588143,0,0,4.544501027,7.97492056,0,0,0,5.848697506,0,0
NODE_3699_length_3399_cov_3_37978,0,0,11.85108437,0,0,0,0,11.12493851,0,0,0,0,11.25598388,0,0
NODE_1752_length_5956_cov_3_75885,0,0,13.40122621,0,0,0,0,10.68866641,0,0,0,0,10.55708292,0,0
NODE_777_length_11153_cov_4_57767,0,0,11.12601803,0,9.328689383,0,0,10.25239432,0,12.22494311,0,0,12.61700154,0,8.074427894
NODE_1335_length_7411_cov_10_2949,0,0,30.97783447,6.213706888,0,0,0,18.1416481,9.491278694,0,0,0,19.01746296,0,0
NODE_1460_length_6919_cov_6_01093,0,0,13.47623308,0,0,0,0,10.1796823,0,0,0,0,9.048928217,0,0
NODE_446_length_15722_cov_4_07883,0,0,9.625880768,0,0,0,39.89413746,10.50688637,0,0,0,26.62619315,14.86084146,0,0
NODE_1684_length_6151_cov_3_31201,0,0,12.85117588,0,0,0,0,11.77934666,0,0,0,0,17.50930826,0,0
NODE_1445_length_6980_cov_4_29776,0,0,16.40150074,0,0,0,0,14.1788432,0,0,0,0,19.23816853,0,0
NODE_1803_length_5835_cov_8_10242,0,0,29.12766518,0,0,0,0,12.65189086,0,0,0,0,13.16876545,0,0
NODE_1306_length_7588_cov_4_45121,0,0,18.17666316,0,0,0,20.7887172,16.32384769,0,0,0,13.85583672,22.91659463,0,0
NODE_949_length_9657_cov_4_25849,0,0,15.27639779,0,0,0,0,14.39697925,0,0,0,0,13.9780192,0,0
NODE_4203_length_3078_cov_3_11181,0,0,7.550690888,0,0,0,7.111929567,0,0,0,0,0,0,0,0
